Time,Age,Gender,Sentiment,Language,Location,Retweets,Likes,Comments,Keywords
2023-01-01 13:40:57.851570314,37,Male,Positive,English,USA,10,22,7,"vaccine, mRNA, science"
2023-01-01 14:24:10.370074014,67,Female,Positive,English,USA,9,26,9,"community, measles, health"
2023-01-01 15:07:22.888577715,51,Non-binary,Positive,English,USA,7,8,15,"measles, vaccine"
2023-01-01 15:50:35.407081416,23,Male,Positive,English,Germany,21,13,12,"public health, safe, polio"
2023-01-01 16:33:47.925585117,29,Non-binary,Positive,Spanish,UK,5,8,14,"public health, vaccine"
2023-01-01 17:17:00.444088817,17,Male,Positive,English,Canada,25,14,35,"side effects, trust, data, booster"
2023-01-01 18:00:12.962592518,43,Female,Positive,English,UK,25,16,9,"hospital, vaccine"
2023-01-01 18:43:25.481096219,20,Male,Positive,English,Canada,19,25,42,"hospital, conspiracy, science"
2023-01-01 19:26:37.999599919,31,Non-binary,Positive,English,USA,20,6,13,"WHO, trust"
2023-01-01 20:09:50.518103620,40,Non-binary,Positive,English,USA,17,27,10,"conspiracy, measles"
2023-01-01 20:53:03.036607321,35,Female,Positive,English,Canada,22,15,18,"data, vaccine, Moderna, side effects"
2023-01-01 21:36:15.555111022,22,Non-binary,Positive,English,UK,22,16,42,"WHO, mRNA"
2023-01-01 22:19:28.073614722,35,Non-binary,Positive,Chinese,USA,38,32,14,"microchip, health, flu"
2023-01-01 23:02:40.592118423,25,Male,Positive,English,USA,43,39,14,"COVID, trial"
2023-01-01 23:45:53.110622124,52,Non-binary,Positive,Spanish,USA,42,14,15,"vaccine, hoax"
2023-01-02 00:29:05.629125825,22,Male,Negative,English,UK,13,14,35,"science, polio"
2023-01-02 01:12:18.147629525,56,Female,Positive,English,Canada,29,16,16,"trial, efficacy, public health"
2023-01-02 01:55:30.666133226,38,Non-binary,Positive,English,Germany,25,14,25,"vaccine, trial, booster, health"
2023-01-02 02:38:43.184636927,49,Male,Positive,English,USA,14,9,21,"WHO, conspiracy, science, public health"
2023-01-02 03:21:55.703140628,69,Non-binary,Positive,Chinese,USA,12,19,19,"side effects, measles, mRNA"
2023-01-02 04:05:08.221644328,28,Male,Positive,German,USA,16,14,15,"side effects, trust, measles"
2023-01-02 04:48:20.740148029,69,Female,Positive,French,UK,11,21,53,"vaccine, measles, trust, health"
2023-01-02 05:31:33.258651730,28,Male,Positive,Spanish,UK,10,47,81,"science, mRNA"
2023-01-02 06:14:45.777155431,24,Non-binary,Positive,English,Australia,25,19,12,"microchip, immunity"
2023-01-02 06:57:58.295659131,26,Male,Positive,English,USA,20,13,11,"public health, side effects"
2023-01-02 07:41:10.814162832,52,Non-binary,Positive,German,UK,20,17,20,"trust, hoax, public health, immunity"
2023-01-02 08:24:23.332666533,58,Female,Positive,Spanish,India,31,21,6,"Pfizer, mRNA, data"
2023-01-02 09:07:35.851170234,69,Male,Positive,English,Germany,18,18,20,"vaccine, Moderna"
2023-01-02 09:50:48.369673934,60,Non-binary,Positive,English,Germany,30,15,54,"conspiracy, immunity"
2023-01-02 10:34:00.888177635,48,Non-binary,Positive,English,Australia,13,8,14,"safe, WHO, measles"
2023-01-02 11:17:13.406681336,55,Non-binary,Positive,German,Germany,13,27,34,"safe, booster"
2023-01-02 12:00:25.925185037,24,Male,Negative,English,USA,20,12,41,"COVID, flu, health, vaccine"
2023-01-02 12:43:38.443688737,31,Male,Positive,English,USA,58,41,13,"Pfizer, measles"
2023-01-02 13:26:50.962192438,31,Male,Positive,English,USA,38,16,21,"trust, community, measles, health"
2023-01-02 14:10:03.480696139,17,Female,Positive,French,Australia,34,15,23,"side effects, health, Moderna"
2023-01-02 14:53:15.999199839,45,Non-binary,Positive,English,Germany,10,15,28,"community, conspiracy"
2023-01-02 15:36:28.517703540,65,Non-binary,Positive,French,USA,21,21,29,"hoax, booster, mRNA"
2023-01-02 16:19:41.036207241,15,Female,Positive,English,Canada,30,13,35,"measles, public health"
2023-01-02 17:02:53.554710942,26,Female,Positive,German,Australia,56,14,13,"health, microchip"
2023-01-02 17:46:06.073214642,53,Male,Positive,Spanish,Germany,8,27,21,"community, COVID, mRNA"
2023-01-02 18:29:18.591718343,18,Male,Positive,English,Canada,28,12,42,"efficacy, booster, microchip"
2023-01-02 19:12:31.110222044,56,Male,Positive,English,Germany,34,26,44,"flu, immunity, Moderna"
2023-01-02 19:55:43.628725745,27,Male,Positive,English,USA,25,30,22,"trial, vaccine"
2023-01-02 20:38:56.147229445,48,Male,Positive,English,USA,10,28,15,"COVID, hospital, side effects, trust"
2023-01-02 21:22:08.665733146,56,Male,Positive,German,UK,22,22,33,"booster, public health, safe"
2023-01-02 22:05:21.184236847,35,Female,Positive,English,USA,24,8,26,"health, trial, safe"
2023-01-02 22:48:33.702740548,36,Female,Positive,English,USA,21,10,25,"hoax, science"
2023-01-02 23:31:46.221244248,18,Female,Positive,English,Australia,14,10,29,"hoax, conspiracy, COVID"
2023-01-03 00:14:58.739747949,32,Non-binary,Positive,English,Australia,13,16,12,"safe, community"
2023-01-03 00:58:11.258251650,19,Non-binary,Positive,German,Australia,25,20,30,"hoax, vaccine, measles, booster"
2023-01-03 01:41:23.776755351,33,Male,Negative,English,USA,14,11,21,"immunity, side effects"
2023-01-03 02:24:36.295259051,16,Female,Positive,Chinese,UK,14,18,35,"WHO, public health, trust"
2023-01-03 03:07:48.813762752,26,Non-binary,Positive,German,USA,18,28,20,"flu, immunity"
2023-01-03 03:51:01.332266453,31,Non-binary,Positive,English,USA,21,12,26,"trust, conspiracy"
2023-01-03 04:34:13.850770154,24,Female,Positive,English,UK,33,13,25,"data, public health, measles, polio"
2023-01-03 05:17:26.369273854,48,Non-binary,Positive,German,USA,11,36,15,"community, COVID, safe"
2023-01-03 06:00:38.887777555,20,Non-binary,Positive,English,USA,10,12,12,"booster, data, COVID"
2023-01-03 06:43:51.406281256,22,Female,Positive,English,Australia,16,23,30,"community, mRNA, side effects, flu"
2023-01-03 07:27:03.924784957,65,Non-binary,Positive,English,USA,8,37,13,"science, Moderna, COVID"
2023-01-03 08:10:16.443288657,25,Female,Positive,English,Germany,26,11,16,"flu, trial, immunity"
2023-01-03 08:53:28.961792358,26,Non-binary,Positive,French,UK,7,11,16,"WHO, safe, COVID"
2023-01-03 09:36:41.480296059,23,Female,Positive,English,Germany,28,17,24,"Moderna, community, side effects"
2023-01-03 10:19:53.998799759,16,Non-binary,Positive,English,USA,34,20,28,"data, COVID, vaccine, WHO"
2023-01-03 11:03:06.517303460,22,Non-binary,Positive,German,UK,22,14,9,"trust, hoax"
2023-01-03 11:46:19.035807161,25,Female,Positive,French,USA,7,53,13,"health, hoax, safe"
2023-01-03 12:29:31.554310862,67,Non-binary,Positive,English,India,21,26,13,"science, Pfizer, WHO"
2023-01-03 13:12:44.072814562,50,Female,Positive,French,USA,13,13,17,"COVID, trial"
2023-01-03 13:55:56.591318263,24,Female,Positive,English,USA,11,10,7,"safe, hoax"
2023-01-03 14:39:09.109821964,35,Non-binary,Positive,French,India,26,19,35,"efficacy, Moderna, safe, WHO"
2023-01-03 15:22:21.628325665,34,Male,Positive,English,USA,29,25,20,"science, safe, Moderna"
2023-01-03 16:05:34.146829365,62,Non-binary,Positive,English,USA,38,50,18,"data, efficacy"
2023-01-03 16:48:46.665333066,22,Male,Positive,Spanish,USA,17,20,29,"booster, flu, public health, science"
2023-01-03 17:31:59.183836767,50,Male,Positive,English,Canada,21,17,26,"safe, hospital, polio"
2023-01-03 18:15:11.702340468,43,Non-binary,Positive,Chinese,USA,46,12,25,"hospital, polio, vaccine, mRNA"
2023-01-03 18:58:24.220844168,56,Male,Positive,English,UK,57,24,19,"safe, community, health"
2023-01-03 19:41:36.739347869,26,Female,Positive,German,USA,34,33,21,"science, booster, trial"
2023-01-03 20:24:49.257851570,28,Female,Positive,German,UK,16,8,30,"hoax, polio, side effects"
2023-01-03 21:08:01.776355271,62,Male,Positive,English,Australia,20,20,26,"COVID, flu, safe"
2023-01-03 21:51:14.294858971,68,Female,Positive,French,UK,18,12,47,"immunity, WHO"
2023-01-03 22:34:26.813362672,64,Non-binary,Positive,English,UK,28,10,21,"hospital, efficacy, data, conspiracy"
2023-01-03 23:17:39.331866373,35,Female,Positive,German,USA,13,46,27,"mRNA, health, efficacy"
2023-01-04 00:00:51.850370074,36,Male,Positive,English,USA,23,31,18,"hospital, Pfizer, safe, hoax"
2023-01-04 00:44:04.368873774,35,Non-binary,Positive,Spanish,USA,23,14,23,"science, immunity, flu, microchip"
2023-01-04 01:27:16.887377475,58,Female,Positive,English,UK,24,18,24,"Pfizer, microchip, WHO"
2023-01-04 02:10:29.405881176,64,Non-binary,Positive,English,UK,12,17,16,"trust, safe, data, vaccine"
2023-01-04 02:53:41.924384877,44,Male,Positive,English,Germany,22,11,14,"microchip, science, vaccine, trial"
2023-01-04 03:36:54.442888577,53,Female,Positive,English,USA,48,15,27,"measles, hoax, polio, trial"
2023-01-04 04:20:06.961392278,34,Non-binary,Positive,French,UK,15,29,25,"Pfizer, WHO, booster"
2023-01-04 05:03:19.479895979,38,Non-binary,Positive,Spanish,UK,22,15,41,"efficacy, Pfizer, data, booster"
2023-01-04 05:46:31.998399679,37,Female,Positive,Spanish,UK,7,25,20,"Moderna, safe, booster"
2023-01-04 06:29:44.516903380,21,Non-binary,Positive,English,India,22,15,12,"trial, community, health, data"
2023-01-04 07:12:57.035407081,23,Non-binary,Positive,English,USA,22,11,20,"trust, science, community, data"
2023-01-04 07:56:09.553910782,15,Male,Positive,English,USA,21,36,29,"efficacy, public health, microchip, conspiracy"
2023-01-04 08:39:22.072414482,40,Male,Positive,French,Canada,28,6,6,"side effects, science, conspiracy, immunity"
2023-01-04 09:22:34.590918183,52,Male,Positive,Chinese,USA,17,49,20,"COVID, trust, side effects, science"
2023-01-04 10:05:47.109421884,52,Male,Positive,English,USA,36,33,28,"flu, immunity, Moderna"
2023-01-04 10:48:59.627925585,68,Male,Positive,English,USA,12,22,22,"Pfizer, booster"
2023-01-04 11:32:12.146429285,58,Male,Positive,English,USA,41,16,16,"health, community, science, public health"
2023-01-04 12:15:24.664932986,36,Female,Positive,Spanish,Canada,22,16,11,"Pfizer, mRNA"
2023-01-04 12:58:37.183436687,58,Male,Positive,Spanish,USA,19,22,19,"hoax, hospital, efficacy, WHO"
2023-01-04 13:41:49.701940388,24,Non-binary,Positive,French,UK,9,22,10,"community, health, WHO"
2023-01-04 14:25:02.220444088,69,Female,Positive,English,UK,11,12,28,"safe, health, data"
2023-01-04 15:08:14.738947789,20,Non-binary,Positive,French,UK,23,20,20,"conspiracy, safe, WHO"
2023-01-04 15:51:27.257451490,31,Male,Positive,Spanish,Germany,14,22,42,"Moderna, polio, booster, measles"
2023-01-04 16:34:39.775955191,65,Male,Positive,English,USA,33,17,7,"microchip, WHO, data, booster"
2023-01-04 17:17:52.294458891,64,Non-binary,Positive,English,Germany,23,61,16,"vaccine, Moderna, measles, data"
2023-01-04 18:01:04.812962592,52,Non-binary,Positive,English,UK,9,18,28,"COVID, efficacy, hospital"
2023-01-04 18:44:17.331466293,38,Non-binary,Positive,English,Australia,29,8,35,"microchip, efficacy"
2023-01-04 19:27:29.849969994,65,Female,Positive,German,UK,18,12,29,"Pfizer, hospital, trial, polio"
2023-01-04 20:10:42.368473694,24,Male,Positive,English,UK,19,28,12,"flu, efficacy, community, hospital"
2023-01-04 20:53:54.886977395,22,Non-binary,Positive,French,India,33,13,15,"efficacy, booster"
2023-01-04 21:37:07.405481096,35,Male,Positive,English,India,10,12,6,"booster, efficacy, immunity, data"
2023-01-04 22:20:19.923984797,20,Non-binary,Positive,English,USA,11,40,20,"trust, hoax, mRNA"
2023-01-04 23:03:32.442488497,35,Male,Positive,English,USA,23,21,35,"science, health, trust, trial"
2023-01-04 23:46:44.960992198,53,Female,Positive,English,UK,8,14,20,"side effects, health"
2023-01-05 00:29:57.479495899,38,Male,Negative,English,Germany,14,5,26,"science, community, side effects, COVID"
2023-01-05 01:13:09.997999599,47,Non-binary,Positive,English,USA,32,27,26,"Pfizer, science, COVID"
2023-01-05 01:56:22.516503300,32,Male,Positive,English,Canada,19,20,17,"health, flu, microchip, mRNA"
2023-01-05 02:39:35.035007001,42,Female,Positive,English,Australia,10,38,5,"hospital, immunity"
2023-01-05 03:22:47.553510702,66,Female,Positive,English,Australia,22,11,39,"health, trial"
2023-01-05 04:06:00.072014402,46,Male,Negative,English,UK,16,16,24,"microchip, trial, community"
2023-01-05 04:49:12.590518103,26,Non-binary,Negative,English,UK,14,23,10,"efficacy, immunity"
2023-01-05 05:32:25.109021804,62,Female,Positive,German,Germany,118,37,24,"trust, trial, vaccine, community"
2023-01-05 06:15:37.627525505,56,Female,Positive,English,Canada,26,22,22,"vaccine, immunity"
2023-01-05 06:58:50.146029205,41,Male,Positive,French,Australia,17,14,38,"vaccine, trial"
2023-01-05 07:42:02.664532906,24,Female,Positive,English,USA,31,38,25,"immunity, hoax, flu, Moderna"
2023-01-05 08:25:15.183036607,60,Female,Positive,Spanish,Canada,17,17,25,"side effects, vaccine, trial"
2023-01-05 09:08:27.701540308,66,Non-binary,Positive,English,USA,15,21,22,"WHO, hoax, data, Moderna"
2023-01-05 09:51:40.220044008,56,Non-binary,Positive,German,USA,23,29,13,"efficacy, mRNA, immunity"
2023-01-05 10:34:52.738547709,46,Non-binary,Positive,English,Australia,25,43,28,"science, Moderna, microchip"
2023-01-05 11:18:05.257051410,56,Male,Positive,French,UK,31,24,19,"hospital, Moderna"
2023-01-05 12:01:17.775555111,40,Female,Positive,English,Canada,40,73,12,"vaccine, COVID"
2023-01-05 12:44:30.294058811,39,Male,Positive,English,USA,36,19,14,"vaccine, data"
2023-01-05 13:27:42.812562512,25,Female,Positive,Spanish,UK,30,23,11,"health, COVID, trust, conspiracy"
2023-01-05 14:10:55.331066213,37,Female,Positive,English,UK,32,14,34,"trial, hospital, Pfizer"
2023-01-05 14:54:07.849569914,48,Female,Negative,English,UK,36,23,54,"booster, mRNA, conspiracy"
2023-01-05 15:37:20.368073614,66,Non-binary,Positive,English,USA,28,23,35,"trust, measles"
2023-01-05 16:20:32.886577315,54,Male,Positive,Spanish,Australia,9,33,24,"booster, vaccine, science, public health"
2023-01-05 17:03:45.405081016,37,Male,Positive,Chinese,India,25,25,19,"WHO, hospital, Moderna"
2023-01-05 17:46:57.923584716,43,Female,Positive,English,USA,39,15,17,"polio, data, booster"
2023-01-05 18:30:10.442088417,45,Male,Positive,French,USA,13,22,12,"public health, mRNA"
2023-01-05 19:13:22.960592118,21,Non-binary,Positive,English,Canada,16,14,53,"side effects, science, microchip"
2023-01-05 19:56:35.479095819,54,Male,Positive,English,Canada,19,26,11,"flu, Moderna, public health, trial"
2023-01-05 20:39:47.997599519,47,Female,Positive,German,Australia,22,15,13,"measles, COVID, efficacy, health"
2023-01-05 21:23:00.516103220,35,Non-binary,Positive,German,Canada,15,9,18,"Moderna, trust, polio, efficacy"
2023-01-05 22:06:13.034606921,16,Non-binary,Positive,French,USA,20,11,18,"health, data"
2023-01-05 22:49:25.553110622,32,Female,Positive,English,USA,25,11,27,"mRNA, community"
2023-01-05 23:32:38.071614322,61,Male,Positive,English,USA,7,15,14,"side effects, Pfizer, COVID, microchip"
2023-01-06 00:15:50.590118023,47,Female,Positive,English,USA,20,13,7,"trial, WHO"
2023-01-06 00:59:03.108621724,51,Male,Positive,English,Canada,16,19,17,"data, hoax, safe, measles"
2023-01-06 01:42:15.627125425,48,Male,Positive,English,USA,8,16,18,"mRNA, Moderna"
2023-01-06 02:25:28.145629125,34,Non-binary,Positive,French,Germany,26,25,17,"immunity, polio"
2023-01-06 03:08:40.664132826,49,Female,Positive,German,India,23,24,17,"COVID, data, hospital, hoax"
2023-01-06 03:51:53.182636527,65,Non-binary,Positive,English,India,21,17,16,"Moderna, COVID"
2023-01-06 04:35:05.701140228,64,Female,Positive,English,Germany,27,37,10,"efficacy, immunity"
2023-01-06 05:18:18.219643928,68,Female,Positive,German,UK,23,12,41,"public health, science"
2023-01-06 06:01:30.738147629,32,Non-binary,Positive,English,India,13,33,40,"safe, Moderna"
2023-01-06 06:44:43.256651330,60,Female,Positive,Spanish,USA,28,21,40,"Moderna, microchip, measles, Pfizer"
2023-01-06 07:27:55.775155031,38,Female,Positive,English,USA,31,16,11,"vaccine, hoax, hospital"
2023-01-06 08:11:08.293658731,22,Male,Negative,English,Australia,11,35,24,"hospital, Moderna, trial"
2023-01-06 08:54:20.812162432,44,Female,Positive,Chinese,USA,31,26,16,"public health, flu, polio"
2023-01-06 09:37:33.330666133,58,Female,Positive,English,Germany,17,11,15,"booster, trust, Pfizer, hoax"
2023-01-06 10:20:45.849169834,67,Non-binary,Positive,English,Canada,27,24,12,"immunity, flu"
2023-01-06 11:03:58.367673534,24,Non-binary,Positive,English,Australia,21,24,72,"data, measles, conspiracy, side effects"
2023-01-06 11:47:10.886177235,37,Female,Positive,German,USA,18,33,17,"COVID, hoax, immunity, conspiracy"
2023-01-06 12:30:23.404680936,66,Male,Positive,German,Canada,26,26,12,"data, trial, science, immunity"
2023-01-06 13:13:35.923184636,63,Male,Positive,English,USA,17,27,21,"efficacy, measles, trust"
2023-01-06 13:56:48.441688337,25,Non-binary,Positive,English,India,34,16,29,"trial, efficacy, side effects, hospital"
2023-01-06 14:40:00.960192038,16,Female,Positive,Spanish,USA,37,18,18,"Pfizer, hospital, safe, public health"
2023-01-06 15:23:13.478695739,40,Female,Positive,English,Canada,15,17,22,"flu, immunity, measles, hoax"
2023-01-06 16:06:25.997199439,50,Male,Positive,Spanish,USA,18,9,33,"Pfizer, community"
2023-01-06 16:49:38.515703140,47,Male,Positive,English,USA,16,38,12,"public health, booster, data, efficacy"
2023-01-06 17:32:51.034206841,61,Male,Positive,English,UK,24,11,21,"Moderna, vaccine, Pfizer, booster"
2023-01-06 18:16:03.552710542,27,Non-binary,Positive,Spanish,USA,38,22,14,"hospital, mRNA, safe"
2023-01-06 18:59:16.071214242,54,Female,Positive,English,Australia,8,17,13,"polio, microchip"
2023-01-06 19:42:28.589717943,39,Non-binary,Positive,German,USA,9,17,48,"public health, microchip, polio"
2023-01-06 20:25:41.108221644,18,Female,Positive,English,USA,19,28,19,"flu, science, vaccine, microchip"
2023-01-06 21:08:53.626725345,56,Non-binary,Positive,English,UK,22,13,11,"conspiracy, booster, hoax, mRNA"
2023-01-06 21:52:06.145229045,33,Female,Positive,Chinese,USA,12,25,18,"COVID, immunity"
2023-01-06 22:35:18.663732746,32,Male,Positive,English,USA,21,25,10,"trial, community, side effects, hoax"
2023-01-06 23:18:31.182236447,51,Male,Positive,Spanish,India,13,13,18,"vaccine, hoax, community"
2023-01-07 00:01:43.700740148,44,Male,Positive,English,USA,16,31,14,"conspiracy, Pfizer"
2023-01-07 00:44:56.219243848,33,Non-binary,Positive,Spanish,USA,37,39,25,"efficacy, trust"
2023-01-07 01:28:08.737747549,37,Male,Positive,Spanish,USA,16,55,52,"public health, flu"
2023-01-07 02:11:21.256251250,68,Female,Positive,English,UK,16,17,18,"measles, conspiracy"
2023-01-07 02:54:33.774754951,30,Non-binary,Positive,French,UK,21,22,14,"measles, community, WHO"
2023-01-07 03:37:46.293258651,15,Female,Positive,Spanish,USA,34,22,21,"safe, WHO"
2023-01-07 04:20:58.811762352,26,Non-binary,Positive,English,Australia,19,28,42,"polio, Moderna, measles"
2023-01-07 05:04:11.330266053,38,Female,Positive,English,USA,15,48,26,"community, mRNA, Pfizer"
2023-01-07 05:47:23.848769754,48,Female,Positive,English,UK,26,25,18,"Pfizer, booster, Moderna"
2023-01-07 06:30:36.367273454,67,Non-binary,Positive,English,USA,30,25,7,"side effects, immunity, COVID, Moderna"
2023-01-07 07:13:48.885777155,22,Non-binary,Positive,English,Canada,35,11,19,"hospital, community"
2023-01-07 07:57:01.404280856,32,Male,Positive,English,Germany,19,55,29,"Moderna, immunity"
2023-01-07 08:40:13.922784556,62,Male,Positive,English,UK,25,15,32,"health, mRNA, science, WHO"
2023-01-07 09:23:26.441288257,19,Female,Positive,French,Germany,29,5,38,"science, measles"
2023-01-07 10:06:38.959791958,40,Female,Positive,English,USA,21,6,14,"vaccine, flu"
2023-01-07 10:49:51.478295659,44,Female,Positive,German,USA,38,23,16,"microchip, science"
2023-01-07 11:33:03.996799359,68,Non-binary,Positive,English,USA,27,10,18,"Moderna, hoax"
2023-01-07 12:16:16.515303060,27,Non-binary,Positive,English,USA,51,20,28,"flu, side effects, WHO"
2023-01-07 12:59:29.033806761,33,Male,Positive,French,USA,31,9,17,"measles, hospital"
2023-01-07 13:42:41.552310462,43,Female,Positive,English,USA,7,23,26,"hospital, science, community, side effects"
2023-01-07 14:25:54.070814162,17,Male,Positive,English,UK,16,26,16,"hospital, public health"
2023-01-07 15:09:06.589317863,40,Non-binary,Positive,English,USA,8,21,14,"microchip, polio, conspiracy"
2023-01-07 15:52:19.107821564,54,Non-binary,Positive,English,USA,14,14,34,"polio, trust"
2023-01-07 16:35:31.626325265,26,Non-binary,Positive,English,USA,16,31,23,"mRNA, public health, WHO, Moderna"
2023-01-07 17:18:44.144828965,16,Male,Positive,Chinese,India,31,16,29,"vaccine, microchip"
2023-01-07 18:01:56.663332666,25,Non-binary,Positive,English,USA,16,18,18,"polio, measles"
2023-01-07 18:45:09.181836367,58,Female,Negative,German,Australia,40,15,30,"community, trust, Pfizer"
2023-01-07 19:28:21.700340068,42,Male,Positive,Spanish,Canada,14,17,11,"safe, hoax, mRNA"
2023-01-07 20:11:34.218843768,32,Non-binary,Positive,English,UK,17,51,12,"public health, Moderna, booster"
2023-01-07 20:54:46.737347469,27,Male,Positive,English,USA,10,20,32,"hospital, Pfizer, COVID, polio"
2023-01-07 21:37:59.255851170,51,Male,Positive,French,USA,41,10,19,"science, booster, WHO"
2023-01-07 22:21:11.774354871,36,Non-binary,Positive,German,UK,44,12,17,"trust, hospital, conspiracy, data"
2023-01-07 23:04:24.292858571,26,Non-binary,Positive,English,USA,18,17,12,"hoax, side effects, trust, Pfizer"
2023-01-07 23:47:36.811362272,16,Male,Positive,English,USA,9,13,30,"Pfizer, WHO, science"
2023-01-08 00:30:49.329865973,51,Male,Positive,English,USA,18,32,51,"measles, community"
2023-01-08 01:14:01.848369674,21,Non-binary,Positive,English,India,22,9,27,"trust, microchip, science"
2023-01-08 01:57:14.366873374,40,Female,Positive,English,UK,14,18,16,"mRNA, hospital, health"
2023-01-08 02:40:26.885377075,40,Male,Positive,German,Canada,65,33,40,"Moderna, immunity, community"
2023-01-08 03:23:39.403880776,38,Male,Positive,English,UK,50,14,24,"immunity, side effects"
2023-01-08 04:06:51.922384476,26,Female,Positive,Spanish,India,8,25,16,"hospital, Moderna, microchip"
2023-01-08 04:50:04.440888177,30,Non-binary,Negative,Spanish,UK,11,19,38,"health, immunity, microchip, community"
2023-01-08 05:33:16.959391878,37,Non-binary,Negative,English,UK,25,19,18,"booster, immunity, data, trust"
2023-01-08 06:16:29.477895579,54,Female,Positive,English,Germany,11,25,9,"trial, efficacy, microchip"
2023-01-08 06:59:41.996399279,23,Non-binary,Positive,Spanish,Australia,22,7,17,"hoax, safe, WHO, trust"
2023-01-08 07:42:54.514902980,46,Non-binary,Positive,German,USA,20,36,26,"hospital, health, flu"
2023-01-08 08:26:07.033406681,29,Male,Negative,Spanish,USA,19,7,14,"public health, side effects, conspiracy"
2023-01-08 09:09:19.551910382,51,Male,Positive,English,Australia,33,35,7,"hoax, trial, public health, mRNA"
2023-01-08 09:52:32.070414082,27,Male,Negative,English,India,49,24,41,"COVID, polio, measles, conspiracy"
2023-01-08 10:35:44.588917783,19,Female,Negative,English,UK,24,25,89,"polio, vaccine, Pfizer, trust"
2023-01-08 11:18:57.107421484,25,Non-binary,Positive,English,UK,10,45,15,"trial, Moderna, booster"
2023-01-08 12:02:09.625925185,24,Non-binary,Positive,French,Canada,21,36,14,"efficacy, Moderna"
2023-01-08 12:45:22.144428885,66,Male,Positive,English,UK,14,30,10,"COVID, safe, science"
2023-01-08 13:28:34.662932586,27,Male,Positive,French,Canada,54,17,13,"mRNA, trust, public health, data"
2023-01-08 14:11:47.181436287,55,Female,Positive,English,USA,28,16,9,"science, vaccine, health, mRNA"
2023-01-08 14:54:59.699939988,67,Non-binary,Positive,Spanish,Germany,24,30,10,"community, data, Pfizer"
2023-01-08 15:38:12.218443688,60,Female,Positive,Chinese,Australia,27,25,20,"data, health"
2023-01-08 16:21:24.736947389,64,Non-binary,Negative,English,Canada,19,23,9,"science, hoax"
2023-01-08 17:04:37.255451090,29,Female,Positive,German,USA,37,19,9,"efficacy, public health"
2023-01-08 17:47:49.773954791,56,Male,Positive,English,USA,15,16,22,"flu, science, hospital, polio"
2023-01-08 18:31:02.292458491,21,Female,Positive,English,UK,32,10,14,"Moderna, trust, COVID, microchip"
2023-01-08 19:14:14.810962192,54,Female,Positive,German,Canada,44,27,24,"efficacy, Pfizer, hospital"
2023-01-08 19:57:27.329465893,42,Male,Negative,German,Canada,13,18,16,"safe, mRNA, Moderna"
2023-01-08 20:40:39.847969594,46,Non-binary,Positive,English,USA,23,17,18,"microchip, WHO"
2023-01-08 21:23:52.366473294,49,Non-binary,Positive,English,Canada,24,8,29,"polio, COVID"
2023-01-08 22:07:04.884976995,29,Male,Positive,Spanish,India,11,21,15,"Moderna, science, booster"
2023-01-08 22:50:17.403480696,62,Female,Positive,French,USA,10,10,28,"immunity, conspiracy, vaccine, trial"
2023-01-08 23:33:29.921984396,50,Female,Positive,English,UK,12,16,16,"Moderna, flu"
2023-01-09 00:16:42.440488097,35,Female,Positive,French,Australia,19,29,13,"hoax, microchip, safe"
